animal_name,animal_type,primary_breed,primary_color,sex,animal_size,dob,intake_date,outcome_date,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_cond,outcome_cond,crossing
MAX,DOG,MIN PINSCHER,BLACK,N,SMALL,8/13/2006,3/24/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,CREMATION,"675 S ALTON WAY, DENVER CO 80247"
JR.,DOG,BICHON FRISE,WHITE,M,MED,5/6/2001,1/18/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"885 N GROVE ST, DENVER CO 80204"
DAISY,DOG,AUST SHEPHERD,BLACK,S,MED,8/5/2003,3/29/2022,00:00.0,STRAY,OWNER HOSP,RTO,OFFICE,AGED,NORMAL,"19809 E 41ST AVE, DENVER CO 80249"
ROXY,DOG,CHIHUAHUA SH,RED,F,SMALL,4/17/2006,9/20/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"5370 N CRYSTAL ST, DENVER CO 80239"
ITSY,DOG,CHIHUAHUA SH,BROWN,S,SMALL,3/5/2007,8/30/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,CREMATION,"3294 S WINONA CT, DENVER CO 80236"
STEWART,DOG,YORKSHIRE TERR,BLACK,N,SMALL,7/10/2007,10/3/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,AGED,"4440 E BAILS PL, DENVER CO 80222"
PEQUENO,DOG,CHIHUAHUA SH,WHITE,N,SMALL,4/30/2007,10/28/2022,00:00.0,STRAY TAGS,OTC,RTO,,NORMAL,NORMAL,"1551 W ALASKA PL, DENVER CO 80223"
SAMPSON,DOG,GREAT DANE,BROWN,M,LARGE,1/5/2008,4/11/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,U/U MED SV,"1173 S ALCOTT ST, DENVER CO 80219"
OREO,DOG,LABRADOR RETR,BLACK,N,LARGE,2/11/2007,10/4/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,CREMATION,"643 S NEWTON ST, DENVER CO 80219"
FRODO,DOG,CHIHUAHUA SH,TAN,M,SMALL,1/10/2006,7/25/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,,"222 S ELIOT ST, DENVER CO 80219"
MAC,DOG,GERM SHEPHERD,RED,M,LARGE,10/10/2007,4/11/2022,00:00.0,OWNER SUR,NONCONFIRM,DISPOSAL,DOA,DEAD,DEAD,"3024 N HOOKER ST, DENVER CO 80211"
GIZMO,DOG,MALTESE,APRICOT,S,SMALL,6/9/2007,7/24/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,U/U MED SV,"609 N ELATI ST, DENVER CO 80204"
TRIP,DOG,POMERANIAN,BLACK,N,TOY,12/31/2006,11/10/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"333 W ELLSWORTH AVE, DENVER CO 80223"
RANGER,DOG,PUG,BROWN,N,SMALL,1/4/2008,11/23/2022,00:00.0,OWNER SUR,NIGHT OWN,DISPOSAL,,DEAD,,"1241 W BAYAUD AVE, DENVER CO 80223"
JAY JAY,DOG,LABRADOR RETR,BLACK,N,MED,8/13/2008,1/4/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"3810 W EXPOSITION AVE, DENVER CO 80219"
OREO,DOG,ITAL GREYHOUND,TRICOLOR,M,SMALL,6/30/2008,6/5/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,NORMAL,CREMATION,"1523 W CEDAR AVE, DENVER CO 80223"
MIMI,DOG,SHIH TZU,BLACK,S,SMALL,11/5/2007,3/4/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,CREMATION,"2777 S QUAY WAY, DENVER CO 80227"
LUKE,DOG,LABRADOR RETR,YELLOW,N,MED,3/22/2007,7/15/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,DOA,DEAD,NORMAL,"638 N FRANKLIN ST, DENVER CO 80218"
IZZY,DOG,AUST CATTLE DOG,BLACK,S,MED,9/17/2009,2/25/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,AGED,"1241 W BAYAUD AVE, DENVER CO 80223"
LUCY BROWN,DOG,DACHSHUND LH,CHOCOLATE,S,TOY,8/10/2008,12/14/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,U/U MED SV,"2667 S STUART WAY, DENVER CO 80219"
NICK,DOG,CHIHUAHUA SH,TAN,N,TOY,12/15/2009,7/26/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,SICK,,"3711 N WILLIAMS ST, DENVER CO 80205"
BUCK,DOG,BOXER,BR BRINDLE,M,MED,5/13/2010,12/8/2022,00:00.0,OWNER SUR,OTC,EUTH,U/U EQ,AGED,U/U MED SV,"710 S UMATILLA WAY DENVER, CO 80223"
CALI,DOG,LABRADOR RETR,BROWN,S,PUPPY,7/7/2010,12/18/2022,00:00.0,OWNER SUR,OTC,DISPOSAL,,DEAD,CREMATION,1661 JOLENE DR THORNTON 80229
